instance_id,uid,gen_uid,workflow,score,success,is_finish,stop_reason,n_branches,branch_limit_hit,prompt_tokens,gen_tokens,frame_tokens,obs_tokens,comp_in_tokens,comp_gen_tokens,summary_gen_tokens,total_e2e_tokens,turns,tool_calls,branch_calls,forward_passes,cum_prompt_tokens,peak_ctx,mean_ctx,main_ctx_final,main_growth,overlong,empty_think_turns,has_fold,search_calls,open_page_calls,session_time,post_gen,post_obs,post_comp_in,post_comp_gen,post_turns,post_tool_calls,post_passes,post_cum_prompt,post_branch_calls,post_total,pre_gen,pre_obs,pre_comp_in,pre_comp_gen,pre_turns,pre_tool_calls,pre_passes,pre_cum_prompt,pre_branch_calls,pre_total,cell,mode,arm,wf
1263,aee9ddd4-5133-488d-9e6a-02df720f135a,fde2a2c3-a63e-4aa3-a7d4-58472af8f3f4,search,0.0,0,0,llm_none,0,0,5209,1504,30,36391,0,0,0,43134,10,10,0,10,230511,37440,23051.1,43137,37925,1,8,0,6,4,80.37900829315186,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
408,4ea09470-a60d-47f4-bb9b-d8e4e8eff6b6,34ef5a4a-a4bc-47b0-8413-b5c9e0d94223,search,0.0,0,0,llm_none,0,0,5135,1385,27,31409,0,0,0,37956,9,9,0,9,193082,36176,21453.555555555555,37959,32821,1,7,0,5,4,80.79232835769653,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
1101,2e73322c-03f2-405d-a466-91344c7b4bf8,0cc26e43-41a0-448c-99b3-6e7730bdb0cf,search,0.0,0,0,llm_none,0,0,5123,1423,27,34635,0,0,0,41208,9,9,0,9,165846,35764,18427.333333333332,41211,36085,1,7,0,7,2,83.67026972770691,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
267,9582bfd2-3733-4a43-afc4-769c32dbb6ab,50bda3b5-c113-4108-ae4b-e87a027555b0,search,1.0,1,1,finish,0,0,5146,1893,9,18638,0,0,0,25686,3,2,0,3,49005,25686,16335.0,25689,20540,0,1,0,3,9,92.39527535438538,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
46,b7b01617-706a-4412-b50a-7d3a46f94b87,17fc7906-3729-41cc-a52a-efee68b6a1ac,search,0.0,0,0,llm_none,0,0,5166,1691,24,32333,0,0,0,39214,8,8,0,8,188781,33881,23597.625,39217,34048,1,6,0,6,3,92.75108766555786,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
1188,dcf0a954-d563-4fe9-8974-aea9bf45fd3c,41716640-aff8-4b89-8381-2976474c9bef,search,0.0,0,0,llm_none,0,0,5131,1694,15,34048,0,0,0,40888,5,5,0,5,104100,34999,20820.0,40891,35757,1,3,0,5,0,91.87054872512817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
495,732cd7eb-1811-4aa8-9457-376bbe890fb2,7624bf50-4895-4b43-b083-00b0926aa739,search,0.0,0,1,finish,0,0,5235,1877,18,30674,0,0,0,37804,6,5,0,6,122046,37804,20341.0,37807,32569,0,4,0,4,1,88.48326992988586,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
240,cff79b12-b628-4ba0-8cde-8e057de05458,3cbc138a-e175-4bb2-9aaf-a4891bc7cf68,search,0.0,0,0,llm_none,0,0,5173,1973,18,32136,0,0,0,39300,6,6,0,6,120419,33134,20069.833333333332,39303,34127,1,4,0,6,0,98.39938688278198,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
882,c76ea262-03a2-4eb6-a63d-a3eb3690b63a,a60226d1-eda0-475e-80a1-b82a3b7528bf,search,0.0,0,0,llm_none,0,0,5216,1630,18,37290,0,0,0,44154,6,6,0,6,130822,36525,21803.666666666668,44157,38938,1,4,0,5,2,96.98895287513733,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
1046,7153e48e-3ab4-4e7e-b341-b7fd3b3de704,2951113d-980b-4263-ba35-f797a5aeefb9,search,0.0,0,0,llm_none,0,0,5158,1889,24,32450,0,0,0,39521,8,8,0,8,187961,37652,23495.125,39524,34363,1,6,0,4,4,102.3348650932312,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
1015,f4fb806c-9f52-4f5b-88e0-b3fd538a40da,d1efd3a2-99b5-4867-a3c7-9fc1c91f6cab,search,0.0,0,0,llm_none,0,0,5157,2069,12,30934,0,0,0,38172,4,4,0,4,78752,31906,19688.0,38175,33015,1,2,0,8,1,105.39285826683044,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
362,66b923cb-7550-4cb3-a531-32e764e46376,c141677a-1629-4350-a1b1-5d4aec8557c9,search,0.0,0,0,llm_none,0,0,5163,1925,9,33696,0,0,0,40793,3,3,0,3,58052,31808,19350.666666666668,40796,35630,1,2,0,9,0,104.50778079032898,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
238,55e99358-e807-4085-b2ce-7238b5482708,ecd5b986-0211-4096-935c-75423450001b,search,0.0,0,0,llm_none,0,0,5092,2067,15,36574,0,0,0,43748,5,5,0,5,112134,37625,22426.8,43751,38656,1,3,0,5,1,109.48893475532532,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
276,6cfd2aad-6e0b-442b-ad54-c67d46c4d4eb,fe3eca15-d090-4602-b31e-9ec53a33af4f,search,0.0,0,0,llm_none,0,0,5118,1833,24,35625,0,0,0,42600,8,7,0,8,187689,36588,23461.125,42603,37482,1,5,0,7,0,107.77484226226807,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
165,c5058675-418f-461a-bce6-774b2dbfddba,22acf232-c2f4-42de-83cc-a63d19804938,search,1.0,1,1,finish,0,0,5151,1709,12,22950,0,0,0,29822,4,3,0,4,69046,29822,17261.5,29825,24671,0,1,0,3,0,102.49661421775818,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
244,897465d0-82a0-42a0-b7f7-e4e209c6eb79,d51b386b-66c0-4fb4-a123-89a451eb1f90,search,0.0,0,0,llm_none,0,0,5150,2167,21,32112,0,0,0,39450,7,6,0,7,150928,34269,21561.14285714286,39453,34300,1,3,0,7,2,113.67787337303162,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
97,8ff6f00f-4cd1-42e2-b341-65dd56a48aae,1b0fd1f6-56cd-4e27-8889-bfed27002d97,search,0.0,0,0,llm_none,0,0,5116,1595,24,33234,0,0,0,39969,8,8,0,8,166290,34570,20786.25,39972,34853,1,6,0,6,2,109.8049054145813,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
1061,cccb7f59-e257-4fa2-bec5-557fb2cc5a58,2568df39-5352-4017-a5bd-e9deaeae4ffb,search,0.0,0,0,llm_none,0,0,5108,2005,27,31678,0,0,0,38818,9,9,0,9,191384,33711,21264.88888888889,38821,33710,1,7,0,7,3,118.30818104743958,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
1204,ddcbdd2e-f890-4e58-ab38-031275e019c9,7c05b898-28c0-421d-9f6c-152654b45f79,search,0.0,0,0,llm_none,0,0,5142,1781,24,33021,0,0,0,39968,8,8,0,8,165235,34950,20654.375,39971,34826,1,6,0,7,2,117.08971452713013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
976,c9d12ec7-77b2-43f7-9f3d-f5966f6a044c,c7316bd2-497b-4ab8-8d31-c9552217d07c,search,0.0,0,1,finish,0,0,5120,1847,12,12721,0,0,0,19700,4,3,0,4,53218,19700,13304.5,19703,14580,0,2,0,2,1,112.06732654571533,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
1150,09a71be3-202f-4678-90d9-98663295a45d,dedacac9-f877-49b1-9ebd-8504d4e4a02d,search,0.0,0,0,llm_none,0,0,5157,1849,12,33461,0,0,0,40479,4,4,0,4,88747,34572,22186.75,40482,35322,1,2,0,10,0,115.64689207077026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
1057,b0cc7a3e-0c73-42d1-a951-58069446fcd5,0b3876da-55a1-4c49-ac98-1cfa41016106,search,0.0,0,0,llm_none,0,0,5157,2063,24,36244,0,0,0,43488,8,8,0,8,174999,37840,21874.875,43491,38331,1,6,0,7,4,122.32304430007935,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
205,049694bf-04f2-4e7e-a8e2-1f66f86e0f8a,4a2a120b-32ad-447c-8f03-0cb0434e611f,search,0.0,0,1,finish,0,0,5089,1875,9,8703,0,0,0,15676,3,2,0,3,33994,15676,11331.333333333334,15679,10587,0,1,0,1,1,111.0102903842926,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
1077,1db5f762-6cc8-44ff-a707-9089c6616619,c96ec389-19cf-4b1d-a632-ae52e23711d7,search,0.0,0,0,llm_none,0,0,5080,1881,15,34101,0,0,0,41077,5,5,0,5,108770,34884,21754.0,41080,35997,1,3,0,2,4,118.28243923187256,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
815,1d9a428b-5e08-41f7-9275-4a35dd65032e,f25c596b-9575-4778-a041-4a69ee0d8eec,search,0.0,0,0,llm_none,0,0,5144,2290,15,32787,0,0,0,40236,5,5,0,5,101472,30647,20294.4,40239,35092,1,3,0,4,2,128.28034138679504,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
72,a8604c9e-d545-428d-8b4b-d9aed50525fa,6904705a-971a-4efc-adc7-48d466d550ae,search,0.0,0,0,llm_none,0,0,5170,1783,57,34784,0,0,0,41794,19,18,0,19,507408,36771,26705.684210526317,41797,36624,1,16,0,6,13,125.21504521369934,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
59,4963abe5-e3c7-42ff-bad7-b475976940a9,2a847cdd-f3d0-4bc1-9dbf-ab3f26e58c69,search,0.0,0,1,finish,0,0,5159,2205,9,17435,0,0,0,24808,3,2,0,3,42582,24808,14194.0,24811,19649,0,0,0,2,0,121.40444350242615,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
625,77f15abc-17f1-409b-847c-9a84dbf8ce80,ffbb2a48-1b1d-4300-bfbd-b170550cf42f,search,0.0,0,0,llm_none,0,0,5245,2175,15,31996,0,0,0,39431,5,5,0,5,114344,37888,22868.8,39434,34186,1,4,0,4,2,128.05724906921387,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
1036,5243a322-7c8e-4553-97f8-9d4ec0e1a6db,cdb03e8d-0cc1-42bd-b26f-0685af630225,search,0.0,0,1,finish,0,0,5135,2339,12,23154,0,0,0,30640,4,3,0,4,80686,30640,20171.5,30643,25505,0,2,0,6,0,128.52145195007324,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
906,ee06aa05-22f3-4908-a04a-b149f6fdab92,7e831425-ad7a-4669-969f-52584a12dc9e,search,0.0,0,0,llm_none,0,0,5121,2018,21,31793,0,0,0,38953,7,7,0,7,156330,35768,22332.85714285714,38956,33832,1,6,0,10,22,130.9989972114563,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
223,3a010a49-f5bf-446e-bef3-23e7d5d1bedd,006a25b6-c00d-471c-a779-8bea8ca3fc28,search,0.0,0,0,llm_none,0,0,5083,2412,24,35305,0,0,0,42824,8,8,0,8,174111,37345,21763.875,42827,37741,1,6,0,6,2,136.6788878440857,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,base_nofold,greedy,norl,nobranch
